seller-sku,asin1,binding,item-name,item-description,listing-id,price,quantity,open-date,product-id-type,item-note,item-condition,will-ship-internationally,expedited-shipping,product-id,pending-quantity,fulfillment-channel,Business Price,Quantity Price Type,Quantity Lower Bound 1,Quantity Price 1,Quantity Lower Bound 2,Quantity Price 2,Quantity Lower Bound 3,Quantity Price 3,Quantity Lower Bound 4,Quantity Price 4,Quantity Lower Bound 5,Quantity Price 5,optional-payment-type-exclusion,scheduled-delivery-sku-set,merchant-shipping-group,standard-price-point,ProductTaxCode,source
FB-48HG-3FZ6,0805074007,Hardcover,"Hegemony or Survival: America's Quest for Global Dominance (The American Empire Project) [Nov 04, 2003] Chomsky, Noam",,0824SAB4EI7,5,1,2017-08-24 14:34:30 PDT,1,,2,,,0805074007,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,,Butler Parnell Crittenden III Estate
ZR-CJMC-IAPV,0688097529,Hardcover,"Art and Physics: Parallel Visions in Space, Time, and Light [Aug 01, 1991] Shlain, Leonard",,0824SAB22KJ,5,1,2017-08-24 14:32:38 PDT,1,,2,,,0688097529,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,,Butler Parnell Crittenden III Estate
0L7-9FC-0EG,0679414894,Hardcover,"United States: Essays 1952-1992 [May 18, 1993] Vidal, Gore",,0824SAAX7C7,9,1,2017-08-24 14:29:53 PDT,1,"No dust cover. Pages clean and unmarked, binding tight.",4,,,0679414894,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,,Butler Parnell Crittenden III Estate
4S-EEZA-ATFQ,0393040348,Hardcover,"Firewall: The Iran-Contra Conspiracy and Cover-Up [Jun 01, 1997] Walsh, Lawrence E.",,0824SAAV0H1,5,1,2017-08-24 14:28:19 PDT,1,,2,,,0393040348,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,,Butler Parnell Crittenden III Estate
FA-YUUF-8VHH,0395471028,Hardcover,"Every Spy a Prince: The Complete History of Israel's Intelligence Community [Jul 01, 1990] Raviv, Dan and Melman, Yossi",,0824SAASYZ7,5,1,2017-08-24 14:26:53 PDT,1,,2,,,0395471028,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,,Butler Parnell Crittenden III Estate
QP-4K77-MW73,0374281254,Hardcover,"Critical Mass: How One Thing Leads to Another [Jun 01, 2004] Ball, Philip",,0824SAASAMJ,5,1,2017-08-24 14:26:00 PDT,1,,2,,,0374281254,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,,Butler Parnell Crittenden III Estate
WYZ-D3M-E83,1560001453,Hardcover,"Death by Government [Mar 31, 1994] Rummel, R. J.",,0824S7ES9FV,52,1,2017-08-23 18:55:44 PDT,1,,5,,,1560001453,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,,Butler Parnell Crittenden III Estate
DC-YFUD-O1VT,0873584430,Paperback,"Tarahumara: Where Night Is the Day of the Moon [Jun 01, 1979] Fontana, Bernard L.",,0824S7C17B1,6,1,2017-08-23 17:48:32 PDT,1,,2,,,0873584430,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,,Butler Parnell Crittenden III Estate
3Y-N16K-MKGQ,187513705X,Hardcover,"A Free Library in This City: The Illustrated History of the San Francisco Public Library [May 01, 1996] Wiley, Peter Booth; Wertz, Laurie and Allende, Isabel",,0824S7BQKO1,6,1,2017-08-23 17:46:08 PDT,1,,2,,,187513705X,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,,Butler Parnell Crittenden III Estate
N4-LQYH-R7NF,B000J4UU0C,Hardcover,"Train Wrecks - A Pictorial History Of Accidents On The Main Line [Hardcover] [Jan 01, 1968] Reed, Robert C.",,0824S7BNRZV,6,1,2017-08-23 17:44:27 PDT,1,,2,,,B000J4UU0C,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,,Butler Parnell Crittenden III Estate
OR-W6XZ-CY4I,0520251091,Hardcover,"Storming the Gates of Paradise: Landscapes for Politics [Jun 18, 2007] Solnit, Rebecca",,0824S7BN4NV,4.5,1,2017-08-23 17:42:04 PDT,1,,2,,,0520251091,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,,Butler Parnell Crittenden III Estate
WX-4W2D-C6VV,1891620223,Hardcover,"Argument Without End: In Search Of Answers To The Vietnam Tragedy [Apr 22, 1999] McNamara, Robert S.; Blight, James; Brigham, Robert K.; Biersteker, Thomas J and Schandler, Col. Herbert",,0824S7BMRTD,5,1,2017-08-23 17:40:03 PDT,1,,2,,,1891620223,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,,Butler Parnell Crittenden III Estate
KIP-5VK-2U0,B0006AN1K0,Hardcover,"Sawdust Caesar;: The untold history of Mussolini and fascism, [Jan 01, 1935] Seldes, George",,0824S7BLPZP,63,1,2017-08-23 17:37:44 PDT,1,Pages clean and unmarked. Some loosening of binding at the spine.,3,,,B0006AN1K0,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,,Butler Parnell Crittenden III Estate
R2-U0BO-RYH9,0140052267,Paperback,"The Search for Lost America: Mysteries of the Stone Ruins in the United States [Aug 30, 1979] Trento, Salvatore M.",,0824S7BHT2D,4.24,1,2017-08-23 17:35:06 PDT,1,"Ex libris markings on flyleaf and page edges. Pages clean and unmarked, binding tight.",3,,,0140052267,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,,Butler Parnell Crittenden III Estate
QO-HWKE-44XQ,193357027X,Paperback,"The Fixer [Sep 15, 2005] Teddy Moore",,0824S7BF41V,100,1,2017-08-23 17:31:56 PDT,1,,6,,,193357027X,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,,Butler Parnell Crittenden III Estate
GO-LEH1-3CH2,0394572246,Hardcover,"The Price of Empire [Hardcover] [Feb 04, 1989] Fulbright, J. William",,0824S7B3U21,5,1,2017-08-23 17:30:42 PDT,1,,2,,,0394572246,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,,Butler Parnell Crittenden III Estate
E4-AOYW-LQZY,0812925238,Hardcover,"In Retrospect: The Tragedy and Lessons of Vietnam [Apr 12, 1995] McNamara, Robert S.",,0824S7AQDXP,5,1,2017-08-23 17:29:37 PDT,1,,2,,,0812925238,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,,Butler Parnell Crittenden III Estate
3MD-6D6-V0P,0199274355,Hardcover,"Exploring Law's Empire: The Jurisprudence of Ronald Dworkin [Hardcover] [Nov 23, 2006] Hershovitz, Scott",,0824S7ADPM7,17.15,1,2017-08-23 17:28:43 PDT,1,"No dust cover, some highlighting.",4,,,0199274355,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,,Butler Parnell Crittenden III Estate
EX-TQVB-BAD0,140275230X,Hardcover,"Prince of Darkness: Richard Perle: The Kingdom, the Power & the End of Empire in America [Nov 01, 2007] Weisman, Alan",,0824S79YRK7,5,1,2017-08-23 17:27:22 PDT,1,,2,,,140275230X,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,,Butler Parnell Crittenden III Estate
SG-69MN-8D4G,0671211196,Paperback,"The Unholy Hymnal: Falsities and Delusions [Paperback] [Sep 25, 1971] Albert E. Kahn; Steven Kahn and Brian Kahn",,0824S78OIJD,2.86,1,2017-08-23 17:19:36 PDT,1,"Crease on front cover. Binding tight, pages clean and unmarked.",3,,,0671211196,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,,Butler Parnell Crittenden III Estate
ZM-JSD8-G0H5,1560255021,Paperback,"Dreaming War: Blood for Oil and the Cheney-Bush Junta (Nation Books) [Paperback] [Sep 06, 2007] Vidal, Gore",,0824S78JDVV,3,1,2017-08-23 17:18:19 PDT,1,,2,,,1560255021,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,,Butler Parnell Crittenden III Estate
CI-9PL1-GM9B,B001K50EZU,Paperback,"A Choice Not an Echo [Paperback] [Jan 01, 1964] schlafly, phyllis",,0824S78EAAP,9.98,1,2017-08-23 17:17:26 PDT,1,,3,,,B001K50EZU,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,,Butler Parnell Crittenden III Estate
WH-PB19-QMBH,B0007F0ADA,Paperback,"The Zimmermann telegram [Jan 01, 1965] Tuchman, Barbara Wertheim",,0824S78AEOV,3,1,2017-08-23 17:16:22 PDT,1,,2,,,B0007F0ADA,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,,Butler Parnell Crittenden III Estate
TJF-S5D-BQM,0553234773,MassMarket,"The War Against The Jews, 1933-1945 [Mass Market Paperback] [Jan 01, 1981] Dawidowicz, Lucy S.",,0824S7883R1,6.99,1,2017-08-23 17:14:57 PDT,1,,4,,,0553234773,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,,Butler Parnell Crittenden III Estate
K8-MVG5-D2SG,0743234359,Paperback,"American Jihad: The Terrorists Living Among Us [Paperback] [Feb 04, 2003] Emerson, Steven",,0824S782V0V,3,1,2017-08-23 17:10:40 PDT,1,,2,,,0743234359,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,,Butler Parnell Crittenden III Estate
UL-GRR6-M3P4,0316084468,Paperback,"Smoke and Mirrors: The War on Drugs and the Politics of Failure [May 05, 1997] Baum, Dan",,0824S782PWP,3,1,2017-08-23 17:09:48 PDT,1,"Some bending of front and back cover, though no creasing. Binding tight, pages clean and unmarked.",3,,,0316084468,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,,Butler Parnell Crittenden III Estate
UO-FG87-PPDE,1566910293,Paperback,"Vietnam, Cambodia and Laos Handbook (Moon Travel Handbooks) [Jun 01, 1996] Buckley, Michael",,0824S782D6D,3,1,2017-08-23 17:08:21 PDT,1,First Edition,2,,,1566910293,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,,Butler Parnell Crittenden III Estate
NO-8I3K-R5KL,044019055X,Paperback,"Trading With the Enemy [Nov 01, 1984] Higham, Charles",,0824S781Q57,9.37,1,2017-08-23 17:05:06 PDT,1,"Bending and slight tearing on front cover. Binding tight, pages clean and unmarked.",3,,,044019055X,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,,Butler Parnell Crittenden III Estate
5G-VFBO-5U06,0345302419,Paperback,"Codeword: Direktor [Jul 12, 1982] Hohne, Heinz",,0824S780QHV,3.24,1,2017-08-23 17:03:59 PDT,1,,2,,,0345302419,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,,Butler Parnell Crittenden III Estate
F4-EOUU-W32Z,0345281527,Paperback,"The Zimmerman Telegram [Aug 12, 1979] Tuchman, Barbara W.",,0824S77ZWG7,3.1,1,2017-08-23 17:03:15 PDT,1,,3,,,0345281527,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,,Butler Parnell Crittenden III Estate
H4-U0TY-8PT6,B0007DQSGU,Paperback,"America: listen: The Kennedy administration and the Washington scene - a revealing report on power politics and the current chaos in our Federal government [Jan 01, 1962] Kluckhohn, Frank L",,0824S77YRFJ,2.75,1,2017-08-23 17:02:15 PDT,1,"Tearing and creasing on front cover. Pages clean and unmarked, binding tight.",4,,,B0007DQSGU,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,,Butler Parnell Crittenden III Estate
ZO-XL25-06JP,B0027QI3RC,Paperback,"The Anatomy of Revolution The Anatomy of Revolution [Paperback] [Jan 01, 1966] Brinton, Crane",,0824S77X10V,4.38,1,2017-08-23 17:00:52 PDT,1,,2,,,B0027QI3RC,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,,Butler Parnell Crittenden III Estate
XQ-X2LA-ZMWL,B0027QI3RC,Paperback,"The Anatomy of Revolution The Anatomy of Revolution [Paperback] [Jan 01, 1966] Brinton, Crane",,0824S77VOO1,4.38,1,2017-08-23 17:00:09 PDT,1,Front cover creased and slightly torn. Otherwise very good condition.,3,,,B0027QI3RC,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,,Butler Parnell Crittenden III Estate
DX-22G7-KWUP,B0011VZP5W,MassMarket,"The New Left Reader [Mass Market Paperback] [Jan 01, 1969] Oglesby, Carl",,0823S77UDDJ,5,1,2017-08-23 16:59:27 PDT,1,"Second Printing. Pages clean and unmarked. Edge of back cover and edges of back pages appear to have been singed, otherwise very good condition. No obfuscation of text. Binding is tight.",4,,,B0011VZP5W,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,,Butler Parnell Crittenden III Estate
9J-XJVU-VA80,0060931841,Paperback,"Rule by Secrecy: The Hidden History That Connects the Trilateral Commission, the Freemasons, and the Great Pyramids [Paperback] [Apr 24, 2001] Marrs, Jim",,0823S77O94D,3,1,2017-08-23 16:56:19 PDT,1,,2,,,0060931841,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,,Butler Parnell Crittenden III Estate
RD-S2MW-YFNO,0394738020,Paperback,"Hidden Terrors: The Truth About U.S. Police Operations in Latin America [Jul 12, 1979] Langguth, A.J.",,0823S77KT6P,17.99,1,2017-08-23 16:55:17 PDT,1,Glue on spine somewhat loose. Cover intact and in good shape. Pages clean and unmarked.,3,,,0394738020,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,,Butler Parnell Crittenden III Estate
LYI-11X-LV0,0394731875,Paperback,"The Logic of World Power, An Inquiry into the Origins, Currents, and Contradictions of World Politics [Paperback] [Jan 01, 1974] franz Schurmann",,0823S77HC51,13,1,2017-08-23 16:53:34 PDT,1,,3,,,0394731875,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,,Butler Parnell Crittenden III Estate
RFN-A2G-5D1,B001NGA7YO,Hardcover,"The Rothschilds, A Family Portrait [Hardcover] [Jan 01, 1962] Morton, Frederic",,0823S77EO61,4,1,2017-08-23 16:50:55 PDT,1,,4,,,B001NGA7YO,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,,Butler Parnell Crittenden III Estate
Y4-R68K-DX1A,0020081154,Paperback,"Out of Control: Global Turmoil on the Eve of the Twenty-First Century [May 05, 1994] Brzezinski, Zbigniew",,0823S77BPZJ,3,1,2017-08-23 16:47:50 PDT,1,,2,,,0020081154,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,,Butler Parnell Crittenden III Estate
23-HPP4-KZZ9,0393331490,Paperback,"Lies, Damn Lies, and Statistics: The Manipulation of Public Opinion in America [Paperback] [Jun 01, 1976] Wheeler, Michael",,0823S77AT3D,9.44,1,2017-08-23 16:46:52 PDT,1,,3,,,0393331490,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,,Butler Parnell Crittenden III Estate
QJ-PFQR-27YO,1567511120,Paperback,"Corporations Are Gonna Get Your Mama: Globalization and the Downsizing of the American Dream [Jul 01, 2002] Danaher, Kevin",,0823S777JS1,3,1,2017-08-23 16:44:14 PDT,1,,2,,,1567511120,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,,Butler Parnell Crittenden III Estate
UR-S6O0-TU6W,0671778803,Paperback,"Cold Warrior: James Jesus Angleton : The Cia's Master Spy Hunter [May 01, 1992] Mangold, Tom",,0823S774XV7,4,1,2017-08-23 16:42:44 PDT,1,,3,,,0671778803,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,,Butler Parnell Crittenden III Estate
CC-XJ0X-GZO2,1893517004,Paperback,"Lost History: Contras, Cocaine, the Press & 'Project Truth' [Paperback] [Jul 01, 1999] Parry, Robert",,0823S7734NP,3,1,2017-08-23 16:41:31 PDT,1,,3,,,1893517004,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,,Butler Parnell Crittenden III Estate
WE-FAZY-TCZX,B00005WZIF,Hardcover,"Toward the year 2018 [Jan 01, 1968] Foreign Policy Association",,0823S771G17,4,1,2017-08-23 16:40:07 PDT,1,,3,,,B00005WZIF,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,,Butler Parnell Crittenden III Estate
DV-NVY4-6D8Q,0608094293,Paperback,"The Structure of Scientific Revolutions [Paperback] [Jan 01, 1970] Kuhn, Thomas S.",,0823S76ZH5J,4,1,2017-08-23 16:38:40 PDT,1,,3,,,0608094293,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,,Butler Parnell Crittenden III Estate
H8-2I48-B85G,0316519596,Hardcover,"The Beast Reawakens [Jul 01, 1997] Lee, Martin A.",,0823S76XARV,5,1,2017-08-23 16:37:26 PDT,1,,2,,,0316519596,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,,Butler Parnell Crittenden III Estate
ER-JGB8-7KN9,0688092020,Hardcover,"Above Top Secret: The Worldwide U.F.O. Cover-Up [Sep 01, 1989] Good, Timothy",,0823S6XQLPD,5,1,2017-08-23 14:02:19 PDT,1,,2,,,0688092020,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,,Butler Parnell Crittenden III Estate
86-7RPM-G2CD,067168891X,Hardcover,"Who Will Tell the People: The Betrayal of American Democracy [May 15, 1992] Greider, William",,0823S6XI647,5,1,2017-08-23 13:59:27 PDT,1,,3,,,067168891X,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,,Butler Parnell Crittenden III Estate
T9-LKU5-GUUO,0896084078,Paperback,"The U.S. Invasion of Panama: The Truth Behind Operational 'Just Cause' [Jul 01, 1999] The Independent Commission of Inquiry on the U.S. Invasion of Panama",,0823S6WY9EJ,3,1,2017-08-23 13:55:00 PDT,1,,3,,,0896084078,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,,Butler Parnell Crittenden III Estate
8B-QYLC-RJ2X,1565540298,Hardcover,"Oswald Talked: The New Evidence in the JFK Assassination [Hardcover] [Jan 31, 1996] LaFontaine, Ray and LaFontaine, Mary",,0823S6WR0X1,5,1,2017-08-23 13:53:10 PDT,1,"No dust cover. Binding tight, pages clean and unmarked.",4,,,1565540298,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,,Butler Parnell Crittenden III Estate
EF-SN7T-2KC1,0060929081,Paperback,"Dereliction of Duty: Johnson, McNamara, the Joint Chiefs of Staff, and the Lies That Led to Vietnam [Paperback] [May 08, 1998] McMaster, H. R.",,0823S6WNYM7,5.55,1,2017-08-23 13:51:30 PDT,1,,4,,,0060929081,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,,Butler Parnell Crittenden III Estate
KJ-TIRL-G2PV,0882792377,Hardcover,"Architects of Conspiracy: An Intriguing History [Jan 01, 1985] Hoar, William P.",,0823S6WJ0MP,5,1,2017-08-23 13:49:12 PDT,1,,2,,,0882792377,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,,Butler Parnell Crittenden III Estate
N6-MCSV-IWV1,038549503X,Hardcover,"One Market Under God: Extreme Capitalism, Market Populism and the End of Economic Democracy [Hardcover] [Oct 17, 2000] Frank, Thomas",,0823S6VEAZD,5,1,2017-08-23 13:40:44 PDT,1,,2,,,038549503X,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,,Butler Parnell Crittenden III Estate
